designation,ra_deg,dec_deg,type,mag,size_arcmin,common_name
M1,83.6331,22.0145,SNR,8.4,6.0,Krebsnebel
M2,323.3625,-0.8233,GC,6.5,16.0,
M3,205.5484,28.3773,GC,6.2,18.0,
M4,245.8968,-26.5258,GC,5.6,36.0,
M5,229.6384,2.0811,GC,5.6,23.0,
M6,265.0833,-32.2167,OC,4.2,33.0,Schmetterlingshaufen
M7,268.4625,-34.7933,OC,3.3,80.0,Ptolemaios-Haufen
M8,270.9042,-24.3833,Nb,6.0,90.0,Lagunennebel
M10,254.2875,-4.1003,GC,6.6,20.0,
M11,282.7667,-6.2667,OC,5.8,14.0,Wildentenhaufen
M12,251.8094,-1.9478,GC,6.7,16.0,
M13,250.4217,36.4613,GC,5.8,20.0,Herkuleshaufen
M14,264.4004,-3.2458,GC,7.6,12.0,
M15,322.4930,12.1670,GC,6.2,18.0,
M16,274.7000,-13.7833,Nb,6.0,35.0,Adlernebel
M17,275.1958,-16.1714,Nb,6.0,46.0,Omeganebel
M20,270.6208,-23.0317,Nb,6.3,28.0,Trifidnebel
M22,279.0998,-23.9050,GC,5.1,32.0,
M27,299.9017,22.7211,PN,7.4,8.0,Hantelnebel
M31,10.6847,41.2688,Gx,3.4,190.0,Andromedagalaxie
M32,10.6743,40.8652,Gx,8.1,9.0,
M33,23.4621,30.6602,Gx,5.7,73.0,Dreiecksgalaxie
M35,92.2250,24.3333,OC,5.3,28.0,
M36,84.0833,34.1333,OC,6.3,12.0,
M37,88.0708,32.5500,OC,5.6,24.0,
M38,82.1667,35.8500,OC,6.4,21.0,
M42,83.8221,-5.3911,Nb,4.0,85.0,Orionnebel
M43,83.8917,-5.2667,Nb,9.0,20.0,De Mairans Nebel
M44,130.0250,19.6667,OC,3.7,95.0,Praesepe
M45,56.8500,24.1167,OC,1.6,110.0,Plejaden
M46,115.4417,-14.8167,OC,6.1,27.0,
M47,114.1500,-14.5000,OC,4.4,30.0,
M48,123.4250,-5.7500,OC,5.5,54.0,
M49,187.4438,8.0003,Gx,8.4,10.0,
M51,202.4696,47.1952,Gx,8.4,11.0,Whirlpoolgalaxie
M52,351.2000,61.5833,OC,6.9,13.0,
M53,198.2292,18.1692,GC,7.6,14.0,
M54,283.7642,-30.4800,GC,7.6,12.0,
M55,294.9988,-30.9647,GC,6.3,19.0,
M56,289.1479,30.1843,GC,8.3,9.0,
M57,283.3963,33.0286,PN,8.8,2.5,Ringnebel
M58,190.5083,11.8181,Gx,9.7,6.0,
M59,190.5092,11.6472,Gx,9.6,5.0,
M60,190.9163,11.5528,Gx,8.8,8.0,
M61,185.4788,4.4736,Gx,9.7,6.0,
M62,255.3033,-30.1117,GC,6.5,15.0,
M63,198.9554,42.0294,Gx,8.6,13.0,Sonnenblumengalaxie
M64,194.1826,21.6828,Gx,8.5,10.0,Black Eye Galaxie
M65,169.7330,13.0922,Gx,9.3,10.0,
M66,170.0626,12.9915,Gx,8.9,9.0,
M67,132.8250,11.8167,OC,6.1,30.0,
M68,189.8667,-26.7450,GC,7.8,11.0,
M69,277.8463,-32.3481,GC,7.6,10.0,
M70,278.6225,-32.2908,GC,7.9,8.0,
M71,298.4438,18.7793,GC,8.2,7.0,
M72,313.3654,-12.5372,GC,9.3,6.0,
M73,314.7500,-12.6333,OC,9.0,3.0,
M74,24.1738,15.7836,Gx,9.4,11.0,
M75,301.5204,-21.9214,GC,8.5,7.0,
M76,25.5817,51.5753,PN,10.1,2.7,Kleiner Hantelnebel
M77,40.6696,-0.0133,Gx,8.9,7.0,
M78,86.6500,0.0833,Nb,8.3,8.0,
M79,81.0442,-24.5244,GC,7.7,10.0,
M80,244.2600,-22.9758,GC,7.3,10.0,
M81,148.8882,69.0653,Gx,6.9,27.0,Bodes Galaxie
M82,148.9681,69.6797,Gx,8.4,11.0,Zigarrengalaxie
M83,204.2538,-29.8653,Gx,7.6,13.0,Suedl. Feuerradgalaxie
M84,186.2654,12.8870,Gx,9.1,7.0,
M85,186.3504,18.1912,Gx,9.1,7.0,
M86,186.5496,12.9461,Gx,8.9,9.0,
M87,187.7059,12.3911,Gx,8.6,8.0,Virgo A
M88,187.9971,14.4203,Gx,9.6,7.0,
M89,188.9163,12.5564,Gx,9.8,5.0,
M90,189.2088,13.1631,Gx,9.5,10.0,
M91,188.8600,14.4967,Gx,10.2,6.0,
M92,259.2808,43.1364,GC,6.4,14.0,
M93,116.1500,-23.8500,OC,6.0,22.0,
M94,192.7217,41.1203,Gx,8.2,11.0,
M95,160.9900,11.7039,Gx,9.7,8.0,
M96,161.6904,11.8197,Gx,9.2,8.0,
M97,168.6988,55.0192,PN,9.9,3.4,Eulennebel
M98,183.4508,14.9003,Gx,10.1,10.0,
M99,184.7063,14.4167,Gx,9.9,6.0,
M100,185.7288,15.8222,Gx,9.3,7.0,
M101,210.8024,54.3488,Gx,7.9,29.0,Feuerradgalaxie
M102,226.6233,55.7636,Gx,9.9,6.0,Spindelgalaxie
M103,23.3417,60.7000,OC,7.4,6.0,
M104,189.9976,-11.6231,Gx,8.0,9.0,Sombrerogalaxie
M105,161.9563,12.5817,Gx,9.3,5.0,
M106,184.7397,47.3042,Gx,8.4,19.0,
M107,248.1333,-13.0533,GC,7.9,13.0,
M108,167.8796,55.6742,Gx,10.0,8.0,Surfbrettgalaxie
M109,179.3996,53.3744,Gx,9.8,8.0,
M110,10.0917,41.6853,Gx,8.5,22.0,
NGC869,34.7667,57.1333,OC,5.3,30.0,h Persei
NGC884,35.6000,57.1500,OC,6.1,30.0,chi Persei
NGC253,11.8880,-25.2883,Gx,7.2,28.0,Sculptor-Galaxie
NGC2237,97.9667,5.0333,Nb,9.0,80.0,Rosettennebel
NGC2392,112.2917,20.9117,PN,9.2,0.7,Eskimonebel
NGC3372,160.9333,-59.8667,Nb,3.0,120.0,Carinanebel
NGC4565,189.0863,25.9878,Gx,9.6,16.0,Nadelgalaxie
NGC6543,269.6392,66.6331,PN,8.1,0.3,Katzenaugennebel
NGC6960,312.7500,30.7167,SNR,7.0,70.0,Cirrusnebel West
NGC6992,314.6000,31.7167,SNR,7.0,60.0,Cirrusnebel Ost
NGC7000,314.6667,44.5333,Nb,4.0,120.0,Nordamerikanebel
NGC7293,337.4108,-20.8372,PN,7.6,13.0,Helixnebel
IC434,85.2583,-2.4583,Nb,7.3,60.0,Pferdekopfnebel
